	BIGG	RHEA	EC-number
0	AKGDam	12188	1.2.4.2
0	AKGt2r	29011	
0	ALCD19y	23592	1.1.1.2
0	ALCD22xi	10736	1.1.1.1
0	ALCD22yi	15937	1.1.1.2
0	ALCD23yi		1.1.1
0	ALCD24yi	18525	1.1.1.265
0	ALCD25yi		1.1.1
0	ALCD26xim	14873	1.1.1.190
0	ALDD20xm	30867	1.2.1.3
0	ALLTAHr	11016	3.5.3.4
0	ALPHNH	19029	3.5.1.54
0	AMID2	18693	3.5.1.11
0	AMPDA	14777	3.5.4.17
0	ARAB14LO	23756	1.1.3.37
0	ARAB1D2	21892	1.1.1.117
0	ARGN	20569	3.5.3.1
0	ARMT		2.1.1.-
0	ASPTAm	21824	2.6.1.1
0	ATPATF3	16577	2.7.7.53
0	ATPS3m		3.6.3.14
0	BTDD_RR	24340	1.1.1.4
0	C24STRer	18501	1.3.1.71
0	C3STDH1	14709	5.3.3.1
0	CHLPCTD	18997	2.7.7.15
0	CHLSTI	15281	5.3.3.5
0	CITt2r	32123	
0	COAHLp		3
0	COUCOAFm	19641	6.2.1.12
0	CRNtim	34959	
0	CSNATm	21136	2.3.1.7
0	CSNATr	21136	2.3.1.7
0	CSNt2	29935	
0	CSm	16845	2.3.3.1
0	CSp	16845	2.3.3.1
0	CYSTLp	13965	4.4.1.8
0	CYSTS	10112	4.2.1.22
0	DADNt2	29979	
0	DESAT16	19721	1.14.19.1
0	DGGH		3.2.1.20
0	DHAD1m	24809	4.2.1.9
0	DHAD2m	27694	4.2.1.9
0	DHFRim	15009	1.5.1.3
0	DIAT	33099	2.3.1.57
0	DINSt2	29971	
0	DIPS	20145	2.1.1.98
0	DPRm	16233	1.1.1.169
0	DRBK	13697	2.7.1.15
0	ECOAH11p	16105	4.2.1.17
0	ECOAH4p	31191	4.2.1.17
0	ECOAH6p	31171	4.2.1.17
0	ECOAH7p	31163	4.2.1.17
0	EHGLAT	31235	2.6.1.23
0	EHGLATm	31235	2.6.1.23
0	EHGLATp	31235	2.6.1.23
0	ERGSTGLCT	22724	2.4.1.173
0	ETHAK	13069	2.7.1.82
0	EX_glx_e	29723	
0	EX_oaa_e	16021	5.3.2.2
0	FA180ACPH	15057	3.1.2.14
0	FA80tp	29759	
0	FACOAL141p	15421	6.2.1.3
0	FACOAL160p	30751	6.2.1.3
0	FACOAL180	33615	6.2.1.3
0	FACOAL80p	33631	6.2.1.3
0	FALDH	19981	1.1.1.284
0	FAS100COA	22896	2.3.1.86
0	FAS120	14993	2.3.1.85
0	FAS120COA	22896	2.3.1.86
0	FAS140	14993	2.3.1.85
0	FAS140COA	22896	2.3.1.86
0	FAS160	14993	2.3.1.85
0	FBA2	30851	4.1.2.13
0	FCLTm	22584	4.99.1.1
0	FDNG	21520	1.2.2.1
0	FEtm	28486	
0	FKYNH	13009	3.5.1.9
0	FORtm	29679	
0	FRDcm	13713	1.3.5.1
0	FTHFLmi	20221	6.3.4.3
0	FUMAC	10244	3.7.1.2
0	G3PD1ir	11092	1.1.1.8
0	G3PD1irm	11092	1.1.1.8
0	G3PDm	31283	1.1.5.3
0	G3PIt	32915	
0	G5SADrm	28234	
0	G6PDH2er	15841	1.1.1.363
0	G6PI	16249	5.1.3.15
0	G6PI3	11816	5.3.1.9
0	GALIGH	21112	3.2.1.22
0	GALT	14209	2.7.7.10
0	GCC2am	24304	1.4.4.2
0	GCC2cm	33059	1.8.1
0	GGTT	25694	2.5.1.81
0	GHMT2rm	15481	2.1.2.1
0	GLPT	15521	2.3.1.97
0	GLUDxi	15133	1.4.1.2
0	GLUK	17825	2.7.1.2
0	GLUSx	13753	1.4.1.14
0	GLUTRSm		6.1.1
0	GLYC3Ptm	34967	
0	GLYCDy	12753	1.1.1.156
0	GLYCt	29675	
0	GLYt2r	28899	
0	GNNUC	30771	3.2.2.1
0	GTHOm	11740	1.8.1.7
0	GTPH1	36795	3.6.1.5
0	H2Ot	29667	
0	H2Oter	29667	
0	H2Otn	29667	
0	H2Otp	29667	
0	H2Otv	29667	
0	HACD4p	31187	1.1.1.211
0	HACD6p	31167	1.1.1.211
0	HACD7p	31159	1.1.1.211
0	HCO3En	10748	4.2.1.1
0	HEMEOSm	28070	2.5.1.-
0	HGNTOR	15449	1.13.11.5
0	HISt2r	37047	
0	HMGCOAR	15989	1.1.1.34
0	HPROa		1.5.1.12
0	HPROb		1.5.1.12
0	HSDxi	15757	1.1.1.3
0	HSERTA	13701	2.3.1.31
0	ICDHym	19629	1.1.1.42
0	ICDHyp	19629	1.1.1.42
0	ILETAm	24801	2.6.1.42
0	ILETRSm	11060	6.1.1.5
0	INSt2	29963	
0	IPPSm	21524	2.3.3.13
0	ITCOALm	17661	6.2.1.5
0	KYN	16813	3.7.1.3
0	KYN3OX	20545	1.14.13.9
0	LYSTRSm	20792	6.1.1.6
0	LYSt2r	28911	
0	L_LACt2r	29415	
0	L_LACtm	29415	
0	MAN1PT	15229	2.7.7.13
0	MCITL2m	16809	4.1.3.30
0	MCITSm	23780	2.3.3.5
0	MDHm	21432	1.1.1.299
0	MDHp	21432	1.1.1.299
0	MELTGH	21112	3.2.1.22
0	METTRSm	13481	6.1.1.10
0	MEVK2	17065	2.7.1.36
0	MEVK3	17065	2.7.1.36
0	MEVK4	17065	2.7.1.36
0	MHPGLUT	21196	2.1.1.14
0	NADDPp	11800	3.6.1.22
0	NADH2_u6cm		1.6.99.3
0	NADKm	18629	2.7.1.23
0	NADPPPSm	28050	3.1.3.-
0	NADS1n	21188	6.3.1.5
0	NAPRT	13393	2.4.2.11
0	NAPRTm	13393	2.4.2.11
0	NAt3_1	29419	
0	NDP3	22156	3.6.1.42
0	NDP3g	22156	3.6.1.42
0	NDP4	12484	3.1.3.5
0	NDPK9	30347	2.7.4.6
0	NNATm	22860	2.7.7.1
0	NNDPRm	12733	2.4.2.19
0	NNMT	23884	2.1.1.1
0	NTP4		3.6.1
0	NTRLASE3	21724	3.5.5.1
0	OAAt	16021	5.3.2.2
0	OCDCEAt	33655	
0	ORNTA	25160	2.6.1.13
0	OXAGm	11900	1.1.1.286
0	PC	20844	6.4.1.1
0	PHCDm	31155	1.2.1.88
0	PIt2r	29939	
0	PMEVK	16341	2.7.4.2
0	PMI12346PH	22384	3.6.1.52
0	PMI12346PS	12793	2.7.4.21
0	POLYAO2	16133	1.5.3.16
0	POLYAO3	25804	1.5.3.16
0	PPAm	24576	3.6.1.1
0	PPND2	21640	1.3.1.13
0	PPTTm	22632	2.5.1.-
0	PRO1xm	14105	1.5.1.2
0	PROt2r	28963	
0	PSPHPL	33511	4.1.2.27
0	PTE11x	16645	3.1.2.2
0	PTE7x	16645	3.1.2.2
0	PTE8x	30139	3.1.2.2
0	PTE9x	30143	
0	PTPATim	19801	2.7.7.3
0	PUNP3m	13233	2.4.2.1
0	PYDXO	15149	1.4.3.5
0	RNDR2n	23252	1.17.4.1
0	RNTR1	12701	1.17.4.2
0	RNTR2	12701	1.17.4.2
0	RNTR3	12701	1.17.4.2
0	SACCD1	10020	1.5.1.10
0	SACCD2	12440	1.5.1.7
0	SBPP2er	33067	3.1.3
0	SBTD_L	10160	1.1.1.14
0	SBTR	14909	1.1.1.19
0	SERPT	14761	2.3.1.50
0	SHSL4r	20397	2.5.1.48
0	SLCBK1	15465	2.7.1.91
0	SLFAT	16529	2.7.7.5
0	SPHPL	18593	4.1.2.27
0	SPMDtex2	35039	
0	SQLEr		1.14.13.132
0	SQLS	32295	2.5.1.21
0	SUCD2_u6m	13713	1.3.5.1
0	SUCD3_u6m	13713	1.3.5.1
0	SUCFUMtm	29323	
0	SUCOASm	17661	6.2.1.5
0	SUCRe	13653	2.4.1.10
0	TCHOLAabcv	50052	
0	THFATm	34767	2.1.2.10
0	THFGLUS	10580	6.3.2.17
0	THIORDXp		1.11.1.15
0	THMDPe	15017	3.1.3.2
0	THRTRSm	24624	6.1.1.3
0	TMDPK	11576	2.7.6.2
0	TMDPPK	11240	2.7.4.15
0	TMN	17509	3.5.99.2
0	TRPt2r	28879	
0	TYRTRSm	10220	6.1.1.1
0	TYRt2p	28875	
0	TYRt2r	28875	
0	TYRt7	28875	
0	UMPtn	27926	
0	URAt2	29239	
0	UREASE	20896	6.3.4.6
0	URIDK2rn	30655	2.7.4.13
0	URIt2	29951	
0	VALTAim	24813	2.6.1.42
0	VALTRSm	10704	6.1.1.9
0	XYLTD_D	20433	1.1.1.14
0	4M2OPLOXRD	13457	1.2.4.4
0	ACLDC	21580	4.1.1.5
0	ACNAMt2	28987	
0	ACOAD1	18177	1.3.1.44
0	ACOAD2	18177	1.3.1.44
0	ACOAD3		1.3.99.3
0	ACOAD5	45408	
0	ACOAD6		1.3.99.3
0	ACOAD7	46072	
0	ACPpds	20537	3.1.4.14
0	ACYP_2	14965	3.6.1.7
0	ALCD1	19401	1.1.1.244
0	ASPabc	29039#1	3.6.3.21
0	BTS3r	22060	2.8.1.6
0	CHCOAL	14781	6.2.1.14
0	CHLabc	38715	
0	COabc	32779	
0	CRNabc	38719	
0	CYSabc	29783#2	3.6.3.21
0	DALAt2r	28903	
0	G3PCT	13361	2.7.7.39
0	GCCa	24304	1.4.4.2
0	GCCb	16945	2.1.2.10
0	GLCNt2r	28831	
0	GLYC3Pt6	29015	
0	HEMEti	19261#2	3.6.3.41
0	HEXTT	20836	2.5.1.-
0	HISDr	21232	4.3.1.3
0	HISabc	29891#1	3.6.3.21
0	KAS1	22836	2.3.1.41
0	KAS11	22836	2.3.1.41
0	KAS13	22836	2.3.1.41
0	KAS3	22836	2.3.1.41
0	KAS4	22836	2.3.1.41
0	KAS5	22836	2.3.1.41
0	KAS6	22836	2.3.1.41
0	LEUabc	29807	
0	LYSabc	29887#1	3.6.3.21
0	MALTabc	22132#1	3.6.3.19
0	MOBDabc	22020#1	3.6.3.29
0	NAt3_15	29247	
0	NAt3_2	29251	
0	NBAH	10424	3.5.1.32
0	NO3t7	28743	
0	OIVD1r	25177	1.2.1
0	OIVD2	13997	1.2.1.25
0	ORNTAC	15349	2.3.1.35
0	PROabc	29815	
0	PTHPS	22048	4.2.3.12
0	PTRCORNt7	28827	
0	RAFH		3.2.1.26
0	RIBabc	29903#1	3.6.3.17
0	SUCD1	30343	1.3.5.1
0	SULabc	10192#1	3.6.3.25
0	UAG2EMA	30683	3.2.1.183
0	UAG4Ei	22168	5.1.3.2
0	URCN	13101	4.2.1.49
0	UREAt	32799	
0	URFGTT	26462	2.1.1.163
0	URIK3	16825	2.7.1.48
0	ZNabc	29795	3.6.3.5
0	SK_glyclt_c	29447	
0	RNAMtpp	33163	
0	CYSIabcpp		3.6.3.21
0	LEUt4rpp	29263	
0	4HTHRK	28787	2.7.1
0	NMNR	30815	3.1.3.-
0	DSCLCOCH	26269	4.99.1.3
0	PPRDNDH		1.5.1
0	OXPTNDH	12064	1.2.1.20
0	EX_bz_e	32811	
0	GALAM6PISO	47680	3.5.99
0	SALCNH		3.2.1.21
0	CLB6PH	10772	3.2.1.86
0	ARABDI	13849	5.3.1.3
0	DKFPS2	31911	2.2.1.11
0	ACNMCT	11344	2.7.7.43
0	NICRNS	25568	2.7.1.173
0	3HBCOAHL	20888	3.1.2.4
0	PPOR	31107	1.13.11.27
0	ACOAH	20289	3.1.2.1
0	ARAB1D1	20457	1.1.1.116
0	ASPOcm_1	25876	1.4.3.16
0	AM6SAD	14469	1.2.1.32
0	CSNATirm	21136	2.3.1.7
0	DHFS_1	23584	6.3.2.12
0	DHORTSn	24296	3.5.2.3
0	DICtm	29327	
0	KATp	21564	2.3.1.16
0	MCITLm	16809	4.1.3.30
0	METS_1	11172	2.1.1.13
0	MTHFC_1	23700	1.5.1.15
0	MTHFR3_1	19817	1.5.1.20
0	NADS1m	21188	6.3.1.5
0	QULNS_1	25888	2.5.1.72
0	SBPP1	27514	3.1.3
0	SBPP2	33067	3.1.3
0	2OH3K5MPPISO	14481	3.1.3.77
0	ENOPH	21700	3.1.3.77
0	GLYOX_1	19069	4.4.1.5
0	PAPSSH	11232	3.6.2.2
0	CMCMSAD	15681	1.1.1.312
0	DHPDO	15633	1.13.11.15
0	HPA3MO	30595	1.14.14.9
0	CMHMI	18813	5.3.3.10
0	4H2KPILY	25788	4.1.2.52
0	3MBZDH	11840	1.2.1.28
0	3MCAT23DOX		1.13.11.-
0	3OADPCOAT	12048	2.8.3.6
0	4CMCOAS	19641	6.2.1.12
0	4HBHYOX	19477	1.14.13.2
0	4MBZDH	11840	1.2.1.28
0	4MCAT23DOX	17337	1.13.11.2
0	4OD2	24260	4.1.1.77
0	AADSACYCL	25121	1.2.1.31
0	ACOADH2		1.3.99.2
0	ADCPS1	12572	6.3.1.10
0	ADCPS2	21896	6.3.1.10
0	ADPT2	31135	2.4.2.7
0	APENTAMAH	15677	3.5.1.30
0	APSR	21976	1.8.4.10
0	ASPO1	19025	1.4.3.16
0	BDH	20521	1.1.1.30
0	BZ12DOX	12633	1.14.12.10
0	BZALDH	10736	1.1.1.1
0	BZDH	11840	1.2.1.28
0	BZDIOLDH	11560	1.3.1.25
0	BZtex	32811	
0	CACOAHA	36307	
0	CAFFCOA	36299	6.2.1.12
0	CAT23DOX	17337	1.13.11.2
0	CATDOX	23852	1.13.11.1
0	CHOLSH	20820	3.1.6.6
0	CITt_kt	32123	
0	COALDDH	23968	1.2.1.68
0	COCHL	15341	6.6.1.2
0	CYRDAAT	11528	2.5.1.17
0	DH3MCHCDH		1.3.1.-
0	DH4MCHCDH	24228	1.3.1.67
0	DHPM1	16121	3.5.2.2
0	DLYSOXGAT	30875	
0	DMGDH	22496	
0	FCOAHA		4.1.2.41
0	FERULCOAS	36251	6.2.1.12
0	FORGLUIH	22832	3.5.3.13
0	GDBTALDH	14381	1.2.1.54
0	GLYCL_2	27758	1.4.4.2
0	GLYCTO1	25311	1.1.3.15
0	GUDBUTNAH	19501	3.5.3.7
0	HACD9	13281	1.1.1.178
0	HIBDkt	22432	1.1.1.35
0	HMSD	34219	1.2.1.85
0	HMSD2	14469	1.2.1.32
0	HMSH	14549	3.7.1.9
0	LPCOXc	11992	1.5.3.7
0	MACCOAT	30719	2.3.1.16
0	MALEI	13169	5.2.1.1
0	MALMDA	27385	3.5.1.107
0	MBCOAi	12276	1.3.8.4
0	MGCH	21536	4.2.1.18
0	MUCCY_kt	23656	5.5.1.2
0	NFORGLUAH	12476	3.5.1.68
0	OBDHc	33223	
0	OCAALD	22748	4.1.3.17
0	OCOAT1	25480	2.8.3.5
0	OMAHY	22580	4.2.1.80
0	OP4ENH2	32535	4.2.1.132
0	PC11M	22012	2.1.1.133
0	PC17M	12761	2.1.1.131
0	PC6AR	23408	1.3.1.54
0	PC6YM	17477	2.1.1.132
0	PCADYOX	10084	1.13.11.3
0	PDHa	19189	1.2.4.1
0	PPNCL	19397	6.3.2.5
0	PTOLDOX		1.14.12.-
0	PYRDOX	27522	1.13.11.9
0	QUIDH	23672	1.1.5.8
0	R05219	18261	2.1.1.152
0	RHACOAR100	22256	1.1.1.36
0	RHACOAR120	45848	
0	RHACOAR140	22256	1.1.1.36
0	RHACOAR60	22256	1.1.1.36
0	RHACOAR80	22256	1.1.1.36
0	SELMETAT	31211	2.5.1.6
0	UPPN	11184	3.5.1.6
0	VNDH_2	20305	1.2.1.28
0	VNTDM	13021	1.14.13.82
0	4HGLSD	31243	1.2.1
0	ACP1_FMN	35587	3.1.3.102
0	AMID5	34367	3.5.1.4
0	CCP	16581	1.11.1.5
0	DASYN_HP	16229	2.7.7.41
0	DHORD3		1.3.3.1
0	FORAMD	21948	3.5.1.49
0	FRDO	20125	1.18.1.2
0	GLNabc	29895#1	3.6.3.21
0	PGSA_HP	12593	2.7.8.5
0	PSD_HP	20828	4.1.1.65
0	PSP_D	24873	3.1.3.3
0	PSSA_HP	16913	2.7.8.8
0	THMDP	15017	3.1.3.2
0	SKMt2	28971	
0	RBK_Dr	17601	2.7.1.16
0	PPCOAC	23720	6.4.1.3
0	PLIPA1E180	18689	3.1.1.32
0	PIt	32823	
0	PEPCK_re	10388	4.1.1.32
0	PAPPT2	21920	2.7.8.13
0	PAPPT1	21920	2.7.8.13
0	MPML	13961	6.6.1.1
0	MMSAD3	22992	1.2.1
0	MI4PP	30735	3.1.3.25
0	MI3PP	30739	3.1.3.25
0	MGt5	29827	
0	MEOHt2	34871	
0	XYLabc	29899	
0	UGLDDS2	16085	6.3.2.10
0	UGLDDS1	16085	6.3.2.10
0	UAGPT1	23192	2.4.1.227
0	UAAGLS2	17969	6.3.2.7
0	TSULabc	29871#1	3.6.3.25
0	Kt3r	29467	
0	GLNSP3	16169	6.3.1.2
0	GLNSP1	16169	6.3.1.2
0	FRDO2r	42312	1.18.1.6
0	OXGDC	10524	4.1.1.71
0	OXACOAL	18293	6.2.1.8
0	OPAH	10348	3.5.2.9
0	DPPS	27802	2.5.1.91
0	DGC3D	12160	1.1.1.125
0	CPC8MM	16209	5.4.99.60
0	CPC6MT	17477	2.1.1.132
0	COBALTt5	28578	
0	BALAt2r	29459	
0	ARGt5r	32143	
0	APATr	14077	2.6.1.18
0	AICART2	24836	6.3.4.23
0	FCOAH2	19741	3.1.2.10
0	ADK2	12973	2.7.4.3
0	3NTYROXDApp	35107	
0	4H3NALDD	35151	
0	4PHACTE		3.1.2
0	ALCD3ir	10736	1.1.1.1
0	ABTDG	17921	1.1.1.11
0	RBTDG	20053	1.1.1.56
0	PPDD	14569	4.2.1.28
0	2INSD	14065	4.2.1.44
0	DKDID		3.7.1
0	LYSAM	19177	5.4.3.2
0	4ABUTD	30803	1.2.1
0	ARGabc	29879#1	3.6.3.21
0	ASPO4_1	29191	
0	CRNt7	29427	
0	CYNTt2	29231	
0	DHPS2_1	19949	2.5.1.15
0	FDH2	21520	1.2.2.1
0	G1PP	19933	3.1.3.10
0	GALabc		3.6.3.17
0	GLCURt2r	28955	
0	GLUABUTt7	28919	
0	GLUt4	29031	
0	HKNTDH_1	34187	3.7.1.14
0	HYD2	29051	
0	LCTSt	28867	
0	MALt2_2	29339	
0	METDabc	29767	
0	MTHFR2_1	19821	1.5.1.20
0	NADDPe	11800	3.6.1.22
0	NMNP	28482	
0	NMNt7	23140	3.2.2.14
0	PEPT_EC	32943	2.7.8.1
0	PGPP_EC	33751	3.1.3.27
0	RMNt	29947	
0	TAURabc	14613#1	3.6.3.36
0	NADH16		1.6.5.3
0	13PPDH	23188	1.1.1.202
0	ARAT	25796	2.6.1.5
0	ARD_1	24504	1.13.11.54
0	BZt	32811	
0	CPC5MT		2.1.1.-
0	CYRDAR2	24300	1.16.8.1
0	INS2D	16949	1.1.1.18
0	ASNTRS_1	11180	6.1.1.22
0	AEPabcpp	32775	
0	PALDH	18905	3.11.1.1
0	4hoxpactex	33175	
0	34DHPACDO	15633	1.13.11.15
0	CODSCL4MT	26277	2.1.1.271
0	CODSCL5DA	26281	3.7.1.12
0	CODSCL8XI	16209	5.4.99.60
0	LTHRK	33707	2.7.1.177
0	THRPDC	11492	4.1.1.81
0	CDPGLC46DH	17153	4.2.1.45
0	CITtupp	33183	
0	TARTRDtpp	35199	
0	EX_cro4_e	32819	
0	3MMD	25763	1.1.1
0	ACITL	21160	2.3.3.8
0	BCOALIG	10132	6.2.1.25
0	BCOALIG2	23116	6.2.1.27
0	BUTKr	13585	2.7.2.7
0	BZSCD	20876	
0	BZSCT	16469	2.8.3.15
0	CREStex	35071	
0	CSPMDDC	34095	4.1.1
0	CSPMDDH	34111	1.5.1.43
0	FDH5r2pp	21520	1.2.2.1
0	FUTH	25904	3.2.2.26
0	GHBDHy	26381	1.1.1.-
0	HKtpp	16777#1	3.6.3.10
0	IBTMr	13141	5.4.99.13
0	MCSNAH	30759	3.5.4.1
0	N2OR		1.7.99.6
0	NAD_H2	24636	1.12.1.2
0	OCHCCH	39651	3.7.1.21
0	PACCOAL2		6.2.1.-
0	PHEPC		6.4.1.-
0	PICH		4.2.1.-
0	PPA_1pp	24576	3.6.1.1
0	SUCOAACTr	35711	2.8.3.18
0	UDPGLDC	23916	4.1.1.35
0	VACOAI	10572	5.3.3.3
0	VCOAD	43456	
0	ALDD20x	30867	1.2.1.3
0	CYSTA	17441	2.6.1.1
0	GAPDi_nadp	10296	1.2.1.13
0	GMPS	18301	6.3.5.2
0	GTHRDH_syn	28807	3.4.19
0	MPOMMM	20541	1.14.13.81
0	MPOMOR	16753	1.14.13.81
0	NDPK10	30939	2.7.4.6
0	PHYTES	22296	2.5.1.32
0	PRUK	19365	2.7.1.19
0	PYK4	18157	2.7.1.40
0	PYK5	18157	2.7.1.40
0	SBP	17461	3.1.3.11
0	SULR_syn	23132	1.8.7.1
0	TOCOPHOM1	24012	2.1.1.95
0	TOCOPHOM2	37991	2.1.1.95
0	TOCOPHS1	37983	5.5.1.24
0	TOCOPHS2	37987	5.5.1.24
0	GGDPR	26229	1.3.1.83
0	H2Otu_syn	29667	
0	CU2abcu_syn	10376#1	3.6.3
0	SPP	19289	3.1.3.24
0	GGPS	12881	2.4.1.213
0	SQLC2	16561	4.2.1.129
0	EX_Rtotal_e	38879	
0	EX_ha_e		3.2.1.35
0	EX_lnlc_e	45264	
0	EX_oh1_e	29667	
0	1PPDCRp	30807	1.5.1.1
0	2AMACHYD	40071	4.3.1.17
0	2OXOADOXm	30795	1.2.1.52
0	34DHPHAMT	17877	2.1.1.6
0	34DHXMANDACOX	11888	1.2.1.5
0	34DHXMANDACOX_NADP	11888	1.2.1.5
0	3HBCDm	17849	4.2.1.55
0	3HBCOAHLm	20888	3.1.2.4
0	3HKYNAKGAT	65560	2.6.1.7
0	3HPCOAHYD	20888	3.1.2.4
0	3HPPD	13357	1.1.1.59
0	3HXKYNOXDA	26414	1.4.3.4
0	3M4HDXPAC	11888	1.2.1.5
0	3MOX4HOXPGALDOX	11888	1.2.1.5
0	3NTD7l	27898	3.1.3.6
0	3SALATAim	21824	2.6.1.1
0	3SPYRSPm		3.13.1
0	41R2A1H12BOOX	26414	1.4.3.4
0	42A12BOOX	27946	1.4.3.21
0	4HOXPACDOX_NADP	11888	1.2.1.5
0	5HOXINOXDA	16153	1.4.3.21
0	5HXKYNDCL	12272	4.1.1.28
0	AASAD3m	12308	1.2.1.31
0	ABTArm	23352	2.6.1.19
0	ACACT10m	30719	2.3.1.16
0	ACACT1x	21036	2.3.1.9
0	ACACtx	29751	
0	ACGALK	12617	2.7.1.157
0	ACGPID	11660	3.5.1.89
0	ACNAM9PL	13421	2.5.1.57
0	ACNAMPH	13057	3.1.3.29
0	ACOAD9m	31099	1.3.8
0	ADAe	24408	3.5.4.4
0	ADCim	19729	4.1.1.4
0	ADPRDPm	10412	3.6.1.13
0	AGMTm	13929	3.5.3.11
0	AKGDm	27786	1.2.1.52
0	AKR1C1	15853	1.1.1.149
0	AKR1C41	34779	1.1.1.50
0	AKR1C42	34779	1.1.1.50
0	AKR1D	24172	1.3.99.6
0	AKR1D2	24172	1.3.99.6
0	ALOX12R		1.13.11.-
0	ALR	19105	1.2.1.19
0	AMPTASECGe	28783	3.4.11.1
0	AOBUTDsm	25653	1.1.1.381
0	AP4AH1	32039	3.6.1.17
0	ARGNm	20569	3.5.3.1
0	ATPH1e	20988	3.6.1.5
0	ATPasel		3.6.3.14
0	ATPtm	34999	2.7.4.6
0	BAAT1x	14001	2.3.1.65
0	BAAT2x	14001	2.3.1.65
0	BAAT3x	14001	2.3.1.65
0	BAAT4x	49788	2.3.1.65
0	BACCLm	19681	6.2.1.11
0	BDHm	20521	1.1.1.30
0	BETALDHxm	15305	1.2.1.8
0	BTND1	13081	3.5.1.12
0	BTND1n	13081	3.5.1.12
0	C160CPT1	12661	2.3.1.21
0	C160CPT2	12661	2.3.1.21
0	C3STDH1r	14709	5.3.3.1
0	CAT2p	20309	1.11.1.6
0	CBLATm	11528	2.5.1.17
0	CBR2	24508	1.1.1.189
0	CHAT	18821	2.3.1.6
0	CHATn	18821	2.3.1.6
0	CHLtm	32751	
0	CHOLD2m	17433	1.1.99.1
0	CHOLtr	32751	
0	CHSTEROLSULT	22552	2.8.2.2
0	CHSTEROLt1	39747	
0	CHSTEROLt2	39747	
0	CHSTEROLtg	39051	
0	CITMCOAHm	13785	4.2.1.56
0	CITMCOALm	22612	4.1.3.25
0	CK	17157	2.7.3.2
0	COKECBESr	27506	3.1.1.84
0	CORE3GTg	46880	2.4.1.147
0	CSNATer	21136	2.3.1.7
0	CYOOm2		1.9.3.1
0	CYSAMO	14409	1.13.11.19
0	CYSGLTH	12613	1.8.4.4
0	CYSLYSL	24927	4.4.1.1
0	CYSO	20441	1.13.11.20
0	CYTDK1	24674	2.7.1.213
0	CYTDK2m	24674	2.7.1.213
0	CYTDn	16069	3.5.4.5
0	CYTK1m	11600	2.7.4.14
0	CYTK1n	11600	2.7.4.14
0	D3AIBTm	18393	2.6.1.40
0	DASCBH	10440	3.1.1.17
0	DCK1m	46040	2.7.1.145
0	DCK1n	46040	2.7.1.145
0	DCT	13041	5.3.3.12
0	DGULND	11084	4.1.1.34
0	DHCR71r	23984	1.3.1.21
0	DMATTx	22408	2.5.1.1
0	DNAMTn	13681	2.1.1.37
0	DOGULND1		4.1.1.-
0	DOGULND2		4.1.1.-
0	DOPABMO	19117	1.14.17.1
0	DOPAMT	17877	2.1.1.6
0	DPHMBDCm		4.1.1
0	DPROOp	21816	1.4.3.3
0	DURAD2	18093	1.3.1.2
0	EBP1r	15281	5.3.3.5
0	EBP2r	15281	5.3.3.5
0	ECOAH12m	31175	4.2.1.17
0	ECOAH9m	31119	4.2.1.17
0	ESTSULT	15973	2.8.2.4
0	ETOHtx	35267	
0	FACOAL1821	33651	6.2.1.3
0	FACOAL206	21380	6.2.1.24
0	FAH3		1.14.13.cs
0	FE2tm	29579	
0	FK	13241	2.7.1.52
0	FORtr	29679	
0	FORtrn	29679	
0	FT		2.5.1.-
0	FTCD	22736	4.3.1.4
0	FTHFDH	10180	1.5.1.6
0	G3PD2m		1.1.99.5
0	G6PDH1er	38215	1.1.1.363
0	G6PPer	16689	3.1.3.58
0	GAL3ST12	20613	2.8.2.11
0	GALOR	37967	1.1.1.21
0	GALtly	34915	
0	GCALDDm	20001	1.2.1.21
0	GGT5r	31563	3.4.19.14
0	GGT6		2.3.2.-
0	GHMT3m		4.1.2.-
0	GLACO	16185	1.2.1.3
0	GLCURtly	28955	
0	GLU5Km	14877	2.7.2.11
0	GLUTCOADHm	13389	1.3.8.6
0	GLXO2p	14837	1.2.3.5
0	GLYAMDTRc	13201	2.1.4.1
0	GLYATm	20736	2.3.1.29
0	GLYBtm	28943	
0	GLYCLTDym	10992	1.1.1.79
0	GLYCLTtp	29447	
0	GLYKm	21644	2.7.1.30
0	GTHDH	24424	1.8.5.1
0	GTHPe	16833	1.11.1.9
0	GULN3D	12889	1.1.1.45
0	GULNDer	14909	1.1.1.19
0	GluForTx	15097	2.1.2.5
0	H2Otly	29667	
0	HACD1m	30799	1.1.1.35
0	HBZOPT10m	17709	2.5.1.39
0	HEX10	10948	2.7.1.1
0	HIBDm	17681	1.1.1.31
0	HKt	16777#1	3.6.3.10
0	HMGCOARr	15989	1.1.1.34
0	HMGCOARx	15989	1.1.1.34
0	HMGLm	24404	4.1.3.4
0	HMGLx	24404	4.1.3.4
0	HPCLx		4.1.2
0	HPYRDC	20561	4.1.1.40
0	HSD11B2r	11388	1.1.1.146
0	HSD17B1	24616	1.1.1.51
0	HSD17B3r	14981	1.1.1.64
0	HSD3A1r	34779	1.1.1.50
0	HSD3A2r	34779	1.1.1.50
0	HSD3B11r	14709	5.3.3.1
0	HSD3B12r	14709	5.3.3.1
0	HSD3B13	14709	5.3.3.1
0	HSD3B13r	14709	5.3.3.1
0	HSD3B7	11896	1.1.1.181
0	Htx	34979	
0	IDHPOXOX2b	23336	1.11.1.8
